name,location,y,x,area
스카이베이 경포,강원 강릉시 해안로 476,37.8042634088987,128.90777951686002,강원
썬크루즈리조트엔호텔,강원 강릉시 강동면 헌화로 950-39,37.684061873346295,129.041904515544,강원
광안대교,부산 수영구 남천동,35.144008,129.126807,부산
5.18 기념공원,광주 서구 내방로 152,35.1583053630715,126.857555924845,광주
광화문광장,서울 종로구 세종로 1-68,37.572432479800895,126.97690184592501,서울
남산서울타워,서울 용산구 용산동2가 산 1-3,37.5489431139548,126.989404159753,서울
엑스포과학공원 한빛탑,대전 유성구 대덕대로 480,36.376626341108,127.38719915966001,대전
디아크문화관,대구 달성군 다사읍 강정본길 57 지하1층~3층,35.841163799221796,128.465056168119,대구
롯데월드타워,서울 송파구 올림픽로 300,37.51375196129529,127.10444689083499,서울
하늘공원 메타세콰이어길,서울 마포구 상암동 482-49,37.56629690362861,126.883421234833,서울
석굴암,경북 경주시 진현동 999,35.7950458434142,129.350393089149,경북
안압지,경북 경주시 인왕동 517,35.8344379,129.2264372,경북
부산타워,부산 중구 대청로116번길 13,35.1018190177033,129.032220362042,부산
소망우체통,울산 울주군 서생면 대송리 산 110-22,35.358767120491,129.36111911301,울산
롯데꿈동산 공중관람차,울산 남구 삼산로 288 롯데영플라자 7층,35.538923163327496,129.338750272732,울산
울산대교,울산 남구 장생포로 411,35.5099582531034,129.38514716777598,울산
워터폴리,경북 포항시 남구 송도동 378-438,36.03529973493679,129.380113254344,경북
인천차이나타운,인천 중구 북성동2가 14,37.4769725178586,126.617612513666,인천
트라이보울,인천 연수구 인천타워대로 250,37.39411412109929,126.63502941645599,인천
자갈치시장,부산 중구 자갈치해안로 52,35.0966137768508,129.030583690953,부산
독립기념관,충남 천안시 동남구 목천읍 독립기념관로 1,36.7818719998049,127.230398111736,충남
첨성대,경북 경주시 인왕동 910-30,35.8347227181229,129.219157529505,경북
호미곶,경북 포항시 남구 호미곶면 대보리,36.057872961567,129.561925628197,경북
판문점,경기 파주시 문산읍 마정리 989-1,37.8933701663699,126.746869572533,경기
송산그린시티전망대,경기 화성시 송산면 고정리 산 1-38,37.2874724143236,126.739970663576,경기
와우정사,경기 용인시 처인구 해곡로 25-15,37.1940350018172,127.2784453378,경기
보성녹차밭,전남 보성군 보성읍 녹차로 763-43,34.7147987543986,127.080956911126,전남
여수오동도등대,전남 여수시 수정동 1-7,34.7443824442843,127.767592940323,전남
전동성당,전북 전주시 완산구 태조로 51,35.8135729565669,127.148924842748,전북
강원랜드,강원도 정선군 사북읍 하이원길 265,37.2118740498975,128.821453729557,강원
속초 엑스포 타워,강원도 속초시 조양동 1544-1,38.1916005359109,128.583233921408,강원
방주교회,제주특별자치도 서귀포시 안덕면 상천리 427,33.3051266204681,126.387258538601,제주특별자치도
글라스하우스,제주특별자치도 서귀포시 성산읍 고성리 46,33.4291134143635,126.933891206987,제주특별자치도
성이시돌목장,제주특별자치도 북제주군 한림읍 금악리,33.3586317649644,126.306239615695,제주특별자치도
법주사,충청북도 보은군 속리산면 법주사로 405,36.5411201892361,127.832938034165,충북
석조미륵보살,충청남도 논산시 관촉동 254,36.1882410094515,127.113074036371,충남
천주교 합덕 성당,충청남도 당진시 합덕읍 합덕성당2길 22,36.7924738681208,126.785856734714,충남
대관령 삼양 목장,강원도 평창군 대관령면 꽃밭양지길 708-9,37.7239209150109,128.719663281206,강원
